tconst,averagerating,numvotes
tt10715194,5.3,1500
tt10715446,4.8,4990
tt10715974,7.3,1003
tt10717738,7.9,11998
tt1071875,4.4,133182
tt10719958,4.4,2154
tt10720030,7.1,1714
tt10720352,7,38040
tt10720816,6.5,1247
tt10720914,7.6,10031
tt1079360,4.8,2219
tt10793644,5.8,11101
tt10795304,7.1,2086
tt10795574,6.2,5965
tt10795658,7.8,142767
tt10796286,7.4,6413
tt10798072,6.1,1330
tt10799690,5.4,4503
tt1080019,5.2,1024
tt10800758,5.9,2046
tt10801196,6.2,1067
tt10801368,7.5,9307
tt10801398,5.3,1452
tt10801534,8.7,16735
tt10802170,8.5,36087
tt10803634,6,1231
tt10803866,6.1,1211
tt10804178,6.9,5585
tt10805432,6.6,4315
tt10805970,4.8,1442
tt10806028,4.1,1113
tt10806040,6,21411
tt10808832,6.1,14178
tt10808968,7.7,2571
tt10809742,4.2,1238
tt10874298,8.2,3111
tt1087461,4.6,20332
tt1087470,1.5,1010
tt10875068,3.6,1294
tt1087524,4.8,1527
tt10875678,5.2,1230
tt10875696,7.3,21668
tt10334438,7.1,1695
tt10334456,7.4,2409
tt10334602,7.1,2311
tt10334624,4.7,1028
tt1033575,7.3,258811
tt10338160,3.4,5861
tt10339052,6.2,7492
tt1034007,7.6,41343
tt10340460,5.3,1153
tt10340562,6.4,14077
tt10341034,7.2,19257
tt10341040,4.7,1102
tt10341196,6.7,2516
tt10341248,4.9,1369
